Ticker,Link,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,Data Date
SGE.L,https://uk.finance.yahoo.com/quote/SGE.L/sustainability,18,3.5,9.5,5.3,9-2023
SBRY.L,https://uk.finance.yahoo.com/quote/SBRY.L/sustainability,21,6.3,9.8,4.7,9-2023
SVS.L,https://uk.finance.yahoo.com/quote/SVS.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SCF.L,https://uk.finance.yahoo.com/quote/SCF.L/sustainability,22,4.7,9.7,6.6,12-2020
SJG.L,https://uk.finance.yahoo.com/quote/SJG.L/sustainability,25,4.2,7.8,7.7,12-2020
SOI.L,https://uk.finance.yahoo.com/quote/SOI.L/sustainability,22,5.8,7.5,8.3,12-2020
SREI.L,https://uk.finance.yahoo.com/quote/SREI.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SCP.L,https://uk.finance.yahoo.com/quote/SCP.L/sustainability,20,4.4,7.6,6,12-2020
SDR.L,https://uk.finance.yahoo.com/quote/SDR.L/sustainability,18,1.4,7.9,8.3,9-2023
SAIN.L,https://uk.finance.yahoo.com/quote/SAIN.L/sustainability,21,3.9,8.8,7.1,12-2020
SMT.L,https://uk.finance.yahoo.com/quote/SMT.L/sustainability,23,2.7,10.6,8.2,12-2020
SST.L,https://uk.finance.yahoo.com/quote/SST.L/sustainability,29,#N/A,#N/A,#N/A,12-2020
STB.L,https://uk.finance.yahoo.com/quote/STB.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SNR.L,https://uk.finance.yahoo.com/quote/SNR.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SRP.L,https://uk.finance.yahoo.com/quote/SRP.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SFR.L,https://uk.finance.yahoo.com/quote/SFR.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SVT.L,https://uk.finance.yahoo.com/quote/SVT.L/sustainability,14,5.9,4.3,4.1,9-2023
SHC.L,https://uk.finance.yahoo.com/quote/SHC.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SHI.L,https://uk.finance.yahoo.com/quote/SHI.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SRE.L,https://uk.finance.yahoo.com/quote/SRE.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
SN.L,https://uk.finance.yahoo.com/quote/SN.L/sustainability,25,3.2,13.4,8.5,9-2023
SMDS.L,https://uk.finance.yahoo.com/quote/SMDS.L/sustainability,13,8.4,1.4,3.1,9-2023
SMIN.L,https://uk.finance.yahoo.com/quote/SMIN.L/sustainability,27,12.8,9.3,4.6,9-2023
SNWS.L,https://uk.finance.yahoo.com/quote/SNWS.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
